ln_earn,female,edyears
6.5118494,1,16
7.0355854,1,16
7.5616417,1,18
7.0501227,0,13
7.456316,0,13
6.253829,1,13
4.9416423,1,11
5.2440724,0,14
6.5220928,0,11
7.130899,1,16
5.6629605,1,10
6.8977051,0,16
6.6846118,0,12
7.5054922,0,14
6.64539,1,16
5.8861041,1,13
6.4997869,1,12
6.3225651,1,12
7.6104717,1,16
6.4614682,0,12
6.779922,1,16
5.2983174,0,16
5.6237288,0,18
6.6846118,0,13
7.4558768,1,12
7.2786288,1,14
6.2146082,1,12
5.7290926,0,13
6.7631688,0,16
7.130899,0,16
6.6808548,1,16
5.8861041,1,12
7.3672853,0,18
7.8632669,0,18
6.669498,1,13
7.2334552,1,20
7.8240461,0,16
7.115387,0,18
7.6568103,0,12
6.6066504,1,12
6.8023949,1,12
6.9994226,0,13
6.3561077,0,12
6.8887253,1,16
7.377759,0,12
7.2283883,0,14
6.6846118,1,16
6.4754329,1,16
5.5947113,1,16
7.3132205,0,18
6.9707303,1,18
6.2146082,1,12
5.7037826,1,12
7.1701198,0,12
4.6051702,1,13
6.2146082,0,12
6.3969297,0,12
6.4785252,0,13
7.0508509,1,16
6.1510291,1,9
6.9679093,1,18
6.4118185,1,13
6.9077554,1,14
7.2334552,1,16
6.4614682,0,12
6.5792513,0,12
6.2878585,1,16
6.3189683,1,12
7.5103869,0,16
6.9784002,1,16
7.0501227,0,16
6.8956828,1,12
6.363028,1,13
7.4599147,1,16
6.3969297,1,13
3.7376697,1,20
7.7440023,0,18
6.547646,0,13
5.7300997,1,14
6.6651869,1,16
7.5616417,0,20
6.3578424,1,16
5.4722705,0,12
7.0900769,1,20
7.6568103,0,16
5.6167712,1,12
6.2146082,0,13
6.6333184,0,12
6.7627296,0,12
5.9506426,0,12
7.2739944,0,16
7.2280979,0,14
6.1441855,1,13
7.7014399,0,16
7.7441368,0,18
6.7452364,0,13
7.2327332,0,16
5.2983174,1,9
7.2751722,0,16
7.2050037,0,18
6.5792513,1,16
6.868526,0,12
6.49224,0,13
6.3969297,1,13
7.8160138,1,18
7.2050037,1,16
6.5117455,1,16
6.7851467,1,13
7.130899,0,13
5.2574954,1,12
7.1228666,0,14
7.0509896,1,16
6.5220928,1,13
6.3578424,0,18
6.8277049,1,16
5.5984221,0,14
7.377759,0,12
7.6615272,0,16
6.8432169,0,12
6.1737862,1,12
7.7440023,1,16
7.9672804,1,20
5.853581,1,12
6.6858611,0,14
6.1355648,1,16
4.0430512,0,13
6.9117475,0,13
6.2887135,0,12
5.7446046,0,12
6.1892905,1,12
6.7511015,0,16
7.8980398,0,18
6.5220928,0,16
7.2331738,0,18
5.2983174,1,12
6.3456364,1,12
6.3153582,0,12
6.508471,1,12
6.3902407,1,14
6.2225761,1,13
6.4842381,1,12
7.9672804,0,13
6.9638424,1,16
6.9445691,0,14
6.3969297,0,13
7.2737865,0,13
7.0501227,0,16
7.2327332,0,18
7.2050037,0,16
6.6720328,1,11
6.6147256,0,13
5.521461,1,18
6.7631688,1,14
5.57973,1,16
5.9135032,1,14
6.7190132,1,13
6.8669333,1,16
6.4101748,1,14
7.967145,0,16
6.025866,0,16
5.7778692,1,12
7.967145,0,18
6.6941781,0,12
6.2915692,0,9
7.0508509,1,16
6.0637851,1,12
6.5220928,1,19
6.7334018,0,12
7.9536695,1,16
6.6280413,0,10
6.1737862,1,16
5.3936276,1,12
7.8240461,0,16
7.7493224,0,16
6.9847164,1,16
7.5616417,1,20
6.3969297,1,13
6.7452364,1,16
6.7406969,0,12
5.768321,0,10
7.7519054,1,18
6.6333184,0,12
6.5117455,1,18
6.9077554,1,16
6.1345472,1,12
7.2048926,0,12
6.4614682,1,12
6.5117455,0,9
7.0169506,0,14
7.0169506,0,13
6.8068295,0,16
7.9672804,0,18
5.2983174,1,16
6.363028,0,13
7.967145,0,19
3.9120231,1,16
6.9810057,0,13
6.5510802,0,16
6.4002576,1,12
6.1345472,0,13
6.5118494,0,13
6.6333184,0,12
7.3132205,0,16
6.3561077,1,18
6.1092477,0,0
6.5930448,1,13
6.7487597,1,18
7.2050037,0,18
6.4614682,1,14
6.6450911,0,14
6.7631688,0,12
6.3279366,1,12
5.7037826,1,12
6.6846118,0,16
6.0473723,0,12
6.9641356,0,16
7.7016525,0,14
4.8598123,0,9
7.2868762,0,16
7.2654295,0,13
7.377759,1,16
6.9995594,0,16
6.9631901,0,16
7.5616417,0,16
6.779922,0,11
5.5984221,1,13
6.6453509,1,12
7.8240461,0,20
6.1737862,1,12
5.3471074,0,13
5.6664267,1,12
2.9977303,0,11
6.828712,0,13
7.8981509,0,16
6.6450911,0,12
6.6846118,0,12
6.1737862,1,7.5
6.0402546,0,16
5.7897158,1,13
3.9120231,1,12
6.0867748,1,16
6.6450911,1,13
6.3969297,0,12
6.5510802,0,13
7.2048926,1,14
6.5820251,0,16
7.0755467,1,16
6.5147128,0,12
7.5207763,1,16
5.1647859,0,16
7.0509896,1,14
6.1960368,1,13
7.5616779,0,16
7.3993979,0,18
7.0501227,1,12
5.2983174,1,16
5.0106354,1,16
6.1312265,1,12
7.3382382,0,16
6.1345472,0,13
6.3969297,0,16
7.0992017,0,18
6.8330317,1,13
7.7437034,1,18
5.8348107,1,11
6.5792513,0,12
7.377759,1,16
6.0402546,1,16
6.6039438,1,12
6.4769726,1,11
6.3561077,0,13
6.0402546,0,9
7.5103869,1,16
7.9672804,0,16
6.2146082,1,13
5.5529594,0,16
6.0112672,1,13
7.7441368,1,16
6.6200733,0,13
7.0509896,1,16
4.7874918,0,11
6.6372581,0,12
7.0900769,0,12
7.7406645,0,20
7.0509896,0,11
6.253829,1,12
6.4614682,0,11
6.6846118,1,13
6.4052286,0,9
6.6592941,0,12
7.967145,0,16
7.2442274,1,16
6.8679743,1,18
7.488853,0,16
6.253829,1,12
6.3491392,1,13
5.7235851,0,12
7.130899,0,13
7.8176255,1,16
6.2878585,0,16
7.0492549,0,14
7.5615377,0,16
6.253829,1,12
7.9672804,1,18
5.8861041,1,12
7.9672804,0,20
7.9669337,0,16
6.64539,1,18
6.5792513,0,13
6.64539,0,16
7.9672804,0,16
5.9914646,0,14
7.266129,1,16
7.456316,1,16
6.6450911,0,13
7.6123366,0,5.5
5.7037826,0,16
7.5208578,0,13
4.9698133,0,12
6.0614572,0,12
6.4297194,0,13
7.6569896,0,13
6.6450911,0,18
6.3969297,1,13
6.4216223,1,16
6.3902407,0,12
6.3577037,0,19
6.4614682,0,12
6.0402546,1,13
6.8885727,1,16
6.253829,0,18
6.140574,0,14
7.4730692,0,13
7.9672804,0,18
6.4504704,0,13
5.9914646,1,12
7.377759,1,20
5.4604363,1,13
6.6450911,1,14
6.6669569,1,14
5.1647859,0,16
7.0836396,1,16
6.2915692,1,18
6.0063534,0,18
6.2265368,1,13
6.694562,0,14
6.8679743,1,12
5.9945846,1,13
6.3969297,0,14
5.8861041,1,12
5.9506426,1,9
6.1092477,1,13
6.7707896,0,13
5.7990928,1,13
6.868526,1,13
7.2723985,1,18
6.5510802,1,12
6.3279366,1,12
7.3382382,0,12
5.5759492,0,18
6.5792513,0,12
6.9469762,1,14
7.7686939,1,20
7.2737865,0,12
6.8276291,1,16
6.9077554,0,12
7.2737865,1,18
2.1972246,1,12
6.3814096,0,12
6.64539,1,12
5.2983174,1,13
5.857933,0,13
7.9669337,0,18
7.0508509,0,12
6.7627296,1,12
6.8178306,1,12
6.1737862,1,12
5.2574954,1,16
7.7186856,1,16
4.8520303,0,13
3.6635616,0,11
5.1929569,1,11
7.7014399,1,20
6.6200733,0,14
6.669498,1,14
7.9672804,0,16
6.1003189,1,14
5.2149358,1,13
6.3969297,0,12
6.9893351,1,12
7.4224157,0,12
7.1292977,0,16
7.21524,0,16
7.2327332,0,18
5.7037826,1,13
6.7452364,1,12
5.6240177,1,13
6.6066504,0,16
6.1737862,1,5.5
7.2739944,0,16
6.8276291,1,13
6.9995594,0,12
7.2442274,1,18
6.8276291,0,12
7.7848892,0,16
5.7990928,0,12
7.495542,0,13
4.1588831,1,13
7.6197243,0,13
5.2983174,1,18
7.3870902,0,16
7.5616779,1,18
6.9206715,0,12
7.5616779,0,13
5.768321,1,12
6.5294189,1,16
6.3456364,1,16
6.6200733,0,14
7.4108553,1,16
6.2878585,1,14
6.3099184,0,12
6.4614682,0,11
6.6450911,1,16
6.7765069,0,16
6.6644092,0,18
7.1760173,1,16
6.6450911,0,12
7.0900769,1,16
5.9914646,0,11
7.59589,0,14
6.5792513,1,12
7.0501227,1,16
5.90277,1,12
5.1082458,0,10
6.3969297,1,14
4.4188404,1,10
6.8875527,0,12
7.0509896,0,13
5.0333095,1,12
